"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1000000,100,"Abies alba Mill.",NA,"Pinaceae",NA,3,1982,2026,NA,"Least concern",NA
1000070,300,"Acer campestre L.",NA,"Sapindaceae",NA,3,1982,2025,NA,"Least concern",NA
1000130,800,"Acer pseudoplatanus L.",NA,"Sapindaceae",NA,8,1982,2025,NA,"Least concern",NA
1000180,1000,"Achillea atrata L.",NA,"Asteraceae",NA,1,1994,2024,NA,"Least concern",NA
1000330,1700,"Achillea millefolium L.",NA,"Asteraceae",NA,15,1930,2025,NA,"Least concern",NA
1000340,1701,"Achillea millefolium L. subsp. millefolium",NA,"Asteraceae",NA,2,2025,2025,NA,"",NA
1000320,1706,"Achillea millefolium aggr.",NA,"Asteraceae",NA,42,1930,2025,NA,"Least concern",NA
1000450,2700,"Achnatherum calamagrostis (L.) P. Beauv.",NA,"Poaceae",NA,3,1885,2024,NA,"Least concern",NA
1000460,2800,"Acinos alpinus (L.) Moench",NA,"Lamiaceae",NA,10,1982,2024,NA,"Least concern",NA
1000470,2900,"Acinos arvensis (Lam.) Dandy",NA,"Lamiaceae",NA,3,1982,2025,NA,"Least concern",NA
1000543,3510,"Aconitum lycoctonum L.",NA,"Ranunculaceae",NA,3,1982,2025,NA,"Least concern",NA
1000548,3520,"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman",NA,"Ranunculaceae",NA,1,1982,2020,NA,"Least concern",NA
1000563,3540,"Aconitum napellus L.",NA,"Ranunculaceae",NA,1,1982,2024,NA,"Least concern",NA
1000620,4390,"Aconitum variegatum L.",NA,"Ranunculaceae",NA,1,2024,2024,NA,"Least concern",NA
1000660,4600,"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi",NA,"Ranunculaceae",NA,1,2024,2024,NA,"Least concern",NA
1000730,5200,"Actaea spicata L.",NA,"Ranunculaceae",NA,4,1982,2025,NA,"Least concern",NA
1000770,5400,"Adenostyles alliariae (Gouan) A. Kern.",NA,"Asteraceae",NA,4,1982,2025,NA,"Least concern",NA
1000780,5450,"Adenostyles alpina (L.) Bluff & Fingerh.",NA,"Asteraceae",NA,5,1982,2025,NA,"Least concern",NA
