"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1000260,1350,"Achillea erba-rotta All.",NA,"Asteraceae",NA,13,1982,2025,NA,"Least concern",NA
1000290,1500,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc.",NA,"Asteraceae",NA,8,1982,2025,NA,"Least concern",NA
1000320,1706,"Achillea millefolium aggr.",NA,"Asteraceae",NA,13,2004,2025,NA,"Least concern",NA
1000360,1900,"Achillea nana L.",NA,"Asteraceae",NA,3,1982,2024,NA,"Least concern",NA
1000460,2800,"Acinos alpinus (L.) Moench",NA,"Lamiaceae",NA,7,1982,2024,NA,"Least concern",NA
1000543,3510,"Aconitum lycoctonum L.",NA,"Ranunculaceae",NA,7,1982,2024,NA,"Least concern",NA
1000548,3520,"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman",NA,"Ranunculaceae",NA,1,1982,2024,NA,"Least concern",NA
1000563,3540,"Aconitum napellus L.",NA,"Ranunculaceae",NA,9,1982,2024,NA,"Least concern",NA
1000770,5400,"Adenostyles alliariae (Gouan) A. Kern.",NA,"Asteraceae",NA,11,1982,2025,NA,"Least concern",NA
1000800,5600,"Adenostyles leucophylla (Willd.) Rchb.",NA,"Asteraceae",NA,3,1982,2023,NA,"Least concern",NA
1001060,8400,"Agrostis alpina Scop.",NA,"Poaceae",NA,9,1982,2025,NA,"Least concern",NA
1001080,8600,"Agrostis capillaris L.",NA,"Poaceae",NA,11,2004,2024,NA,"Least concern",NA
1001090,8700,"Agrostis gigantea Roth",NA,"Poaceae",NA,2,2004,2009,NA,"Least concern",NA
1001100,8900,"Agrostis rupestris All.",NA,"Poaceae",NA,30,1982,2025,NA,"Least concern",NA
1001120,9100,"Agrostis schraderiana Bech.",NA,"Poaceae",NA,24,1982,2025,NA,"Least concern",NA
1001130,9300,"Agrostis stolonifera L.",NA,"Poaceae",NA,14,1982,2024,NA,"Least concern",NA
1001220,10300,"Ajuga pyramidalis L.",NA,"Lamiaceae",NA,13,1982,2024,NA,"Least concern",NA
1001340,11200,"Alchemilla alpina aggr.",NA,"Rosaceae",NA,1,2019,2019,NA,"Least concern",NA
1001330,11100,"Alchemilla alpina superaggr.",NA,"",NA,1,1982,2019,NA,"",NA
1001410,12100,"Alchemilla conjuncta superaggr.",NA,"",NA,0,1982,1982,NA,"",NA
1001640,14000,"Alchemilla fissa aggr.",NA,"Rosaceae",NA,3,1982,2025,NA,"Least concern",NA
1002110,18100,"Alchemilla pentaphyllea L.",NA,"Rosaceae",NA,0,1982,1982,NA,"Least concern",NA
1002440,21100,"Alchemilla vulgaris aggr.",NA,"Rosaceae",NA,4,2019,2023,NA,"Least concern",NA
1002870,25400,"Alnus viridis (Chaix) DC.",NA,"Betulaceae",NA,12,1982,2025,NA,"Least concern",NA
1002920,26000,"Alopecurus pratensis L.",NA,"Poaceae",NA,1,2024,2024,NA,"Least concern",NA
1003540,31800,"Androsace chamaejasme Wulfen",NA,"Primulaceae",NA,1,1982,2019,NA,"Least concern",NA
1003600,32400,"Androsace obtusifolia All.",NA,"Primulaceae",NA,9,1982,2024,NA,"Least concern",NA
1003840,34300,"Antennaria carpatica (Wahlenb.) Bluff & Fingerh.",NA,"Asteraceae",NA,4,1982,2024,NA,"Least concern",NA
1003850,34400,"Antennaria dioica (L.) Gaertn.",NA,"Asteraceae",NA,55,1982,2024,NA,"Least concern",NA
