"","X","predator","q0","q1","q2","chao1","species","site","age","time_min","time_hour","day","month","year.x","beak_colour","color","temperature","clouds","clouds_height","winds","precipitation","fresh_snow","snow_height","cover_snow","elevation","weight","fat","muscle","sex_genetics","timekey","key_m100","capture_day","E1","E1_adj","total_ra","anthropo_ra","failures","ringnr","recapture","year.y","recap_num","nrecapture"
"1",1,"N566714",67,1.68323613470298,0.733896826826888,67,"Montifringilla nivalis","Tiefenbach",6,30,15,18,1,2023,2.5,"grey",-11,1,NA,2,"no",3,NA,98,2102,45,5,1,"m","2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18",0.0251229273836266,0.0300185673075067,3454709,491175,2963534,566714,"first capture",2016,0,5
"2",2,"N566785",1,0,0,1,"Montifringilla nivalis","Tiefenbach",6,25,8,28,3,2024,9,"black",-3,8,NA,0,"snow",35,NA,97,2102,38.5,3,2,"m","2024-03-28 08:25","2024-03-28 06:45:00","2024-03-28",0,0.00515463917525773,246693,246693,0,566785,"first capture",2018,0,3
"3",3,"N566881",69,1.36219123509121,0.676375632118745,69,"Montifringilla nivalis","Tiefenbach",6,3,8,11,3,2025,7.5,"black",NA,7,3200,0,"no",0,150,96,2102,39,3,2,"f","2025-03-11 08:03","2025-03-11 06:23:00","2025-03-11",0.0197419019578436,0.0246930163706494,4159692,2057700,2101992,566881,"first capture",2022,0,1
"4",4,"N588106",35,2.08873735846975,0.839971384015398,35,"Montifringilla nivalis","Corviglia",6,5,12,25,1,2023,4,"grey",-4,1,NA,1,"no",0,NA,98,2473,45,5,1,"m","2023-01-25 12:05","2023-01-25 10:25:00","2023-01-25",0.0596782102419929,0.0642176101364053,2655937,187162,2468775,588106,"first capture",2020,0,1
"5",5,"N588150",1,0,0,1,"Montifringilla nivalis","Tiefenbach",6,25,8,28,3,2024,10,"black",-3,8,NA,0,"snow",35,NA,97,2102,36.5,3,2,"m","2024-03-28 08:25","2024-03-28 06:45:00","2024-03-28",0,0.00515463917525773,3188342,3188342,0,588150,"first capture",2020,0,5
"6",6,"N588266",39,1.63316643828845,0.681932541550862,39,"Montifringilla nivalis","Tiefenbach",6,35,17,27,3,2024,NA,"black",-2,8,NA,0,"no",30,NA,97,2102,40,3,2,"m","2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27",0.0418760625202167,0.0465989897107299,3221790,6651,3215139,588266,"first capture",2020,0,2
"7",7,"N588285",60,1.30123832941305,0.494551086696783,60,"Montifringilla nivalis","Tiefenbach",6,35,17,27,3,2024,9.5,"grey",-2,8,NA,0,"no",30,NA,97,2102,37.5,3,2,"m","2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27",0.0216873054902175,0.0266183641965039,3413070,58539,3354531,588285,"first capture",2022,0,5
"8",8,"N630062",128,0.635966372915582,0.226100613926468,128,"Montifringilla nivalis","Tiefenbach",5,55,13,10,2,2024,3,"black",0,7,NA,2,"no",10,NA,92,2102,46.5,4,2,"f","2024-02-10 13:55","2024-02-10 12:15:00","2024-02-10",0.00496848728840298,0.0100719049452236,3619397,3183151,436246,630062,"first capture",2024,0,1
"9",9,"N630068",5,0.938980802510906,0.562210315260822,5,"Montifringilla nivalis","Tiefenbach",6,43,11,8,1,2025,1.5,"black",-3.2,8,2100,3,"snow",10,49,100,2102,47.5,4,2,"m","2025-01-08 11:43","2025-01-08 10:03:00","2025-01-08",0.187796160502181,0.191014756785664,641325,370312,271013,630068,"first capture",2024,0,4
"10",10,"N630074",4,0.531384231328369,0.270750235215956,4,"Montifringilla nivalis","Tiefenbach",6,43,11,8,1,2025,1.5,"black",-3.2,8,2100,3,"snow",10,49,100,2102,52,5,2,"m","2025-01-08 11:43","2025-01-08 10:03:00","2025-01-08",0.132846057832092,0.13663115001939,2676114,2514313,161801,630074,"first capture",2024,0,3
