"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1000000,100,"Abies alba Mill.",NA,"Pinaceae",NA,64,1975,2022,NA,"Least concern",NA
1000070,300,"Acer campestre L.",NA,"Sapindaceae",NA,21,1982,2022,NA,"Least concern",NA
1000120,700,"Acer platanoides L.",NA,"Sapindaceae",NA,27,1982,2022,NA,"Least concern",NA
1000130,800,"Acer pseudoplatanus L.",NA,"Sapindaceae",NA,35,2016,2022,NA,"Least concern",NA
1000330,1700,"Achillea millefolium L.",NA,"Asteraceae",NA,4,1964,2022,NA,"Least concern",NA
1000320,1706,"Achillea millefolium aggr.",NA,"Asteraceae",NA,6,1964,2025,NA,"Least concern",NA
1000450,2700,"Achnatherum calamagrostis (L.) P. Beauv.",NA,"Poaceae",NA,1,1982,2025,NA,"Least concern",NA
1000543,3510,"Aconitum lycoctonum L.",NA,"Ranunculaceae",NA,1,1948,1982,NA,"Least concern",NA
1000548,3520,"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman",NA,"Ranunculaceae",NA,1,1948,1982,NA,"Least concern",NA
1000620,4390,"Aconitum variegatum L.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1000730,5200,"Actaea spicata L.",NA,"Ranunculaceae",NA,1,1982,2023,NA,"Least concern",NA
1000770,5400,"Adenostyles alliariae (Gouan) A. Kern.",NA,"Asteraceae",NA,4,1982,2022,NA,"Least concern",NA
1000780,5450,"Adenostyles alpina (L.) Bluff & Fingerh.",NA,"Asteraceae",NA,1,1975,1982,NA,"Least concern",NA
1000880,6300,"Adoxa moschatellina L.",NA,"Adoxaceae",NA,0,1982,1982,NA,"Least concern",NA
1000930,6800,"Aegopodium podagraria L.",NA,"Apiaceae",NA,5,1982,2025,NA,"Least concern",NA
1001010,7400,"Agrimonia eupatoria L.",NA,"Rosaceae",NA,2,1941,2025,NA,"Least concern",NA
1001080,8600,"Agrostis capillaris L.",NA,"Poaceae",NA,10,1982,2024,NA,"Least concern",NA
1001090,8700,"Agrostis gigantea Roth",NA,"Poaceae",NA,14,1982,2025,NA,"Least concern",NA
1001110,9000,"Agrostis schleicheri Jord. & Verl.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1001130,9300,"Agrostis stolonifera L.",NA,"Poaceae",NA,1,1982,2012,NA,"Least concern",NA
1001220,10300,"Ajuga pyramidalis L.",NA,"Lamiaceae",NA,1,1982,2005,NA,"Least concern",NA
1001230,10400,"Ajuga reptans L.",NA,"Lamiaceae",NA,27,1982,2025,NA,"Least concern",NA
1001410,12100,"Alchemilla conjuncta superaggr.",NA,"",NA,2,1982,2022,NA,"",NA
1001640,14000,"Alchemilla fissa aggr.",NA,"Rosaceae",NA,0,1982,1982,NA,"Least concern",NA
1002150,18500,"Alchemilla plicatula aggr.",NA,"Rosaceae",NA,1,2022,2022,NA,"Least concern",NA
1002300,19900,"Alchemilla splendens aggr.",NA,"Rosaceae",NA,0,1982,1982,NA,"Least concern",NA
1002440,21100,"Alchemilla vulgaris aggr.",NA,"Rosaceae",NA,9,2002,2002,NA,"Least concern",NA
1002500,21800,"Alisma lanceolatum With.",NA,"Alismataceae",NA,0,1982,1982,NA,"Endangered",NA
1002510,21900,"Alisma plantago-aquatica L.",NA,"Alismataceae",NA,1,1982,1984,NA,"Least concern",NA
1002520,22100,"Alliaria petiolata (M. Bieb.) Cavara & Grande",NA,"Brassicaceae",NA,2,1982,2025,NA,"Least concern",NA
1002560,22350,"Allium carinatum L.",NA,"Amaryllidaceae",NA,25,1966,2024,NA,"Near threatened",NA
1002570,22400,"Allium carinatum L. subsp. carinatum",NA,"Amaryllidaceae",NA,20,1966,2024,NA,"Near threatened",NA
1002790,24800,"Allium ursinum L.",NA,"Amaryllidaceae",NA,7,1982,2022,NA,"Least concern",NA
1002810,25000,"Allium vineale L.",NA,"Amaryllidaceae",NA,2,2022,2025,NA,"Least concern",NA
1002840,25200,"Alnus glutinosa (L.) Gaertn.",NA,"Betulaceae",NA,2,2020,2022,NA,"Least concern",NA
1002850,25300,"Alnus incana (L.) Moench",NA,"Betulaceae",NA,23,1982,2022,NA,"Least concern",NA
1002900,25700,"Alopecurus geniculatus L.",NA,"Poaceae",NA,3,2025,2025,NA,"Vulnerable",NA
1002920,26000,"Alopecurus pratensis L.",NA,"Poaceae",NA,8,1974,2025,NA,"Least concern",NA
1003085,27600,"Amaranthus blitum aggr.",NA,"Amaranthaceae",NA,1,1947,1947,NA,"",NA
1003220,28900,"Amaranthus retroflexus L.",NA,"Amaranthaceae",NA,1,1998,1998,NA,"",NA
