"","X.2","X.1","X","predator","prey","ra","site","sex","age","year","color","temperature","clouds","precipitation","cover_snow","weight","fat","muscle","winds","fresh_snow","clouds_height","snow_height","elevation","wing","p8","tarsus","beak_colour","first_reaction","provoking","flapping","time_min","time_hour","day","month","timekey","key_m100","capture_day","sex_genetics","clean_species","present_in_site.x","otu_phylum","otu_class","otu_order","otu_family","otu_genus","otu_species","present_in_site.y","anthropogenic.x","anthropogenic.y","anthropogenic"
"1",1,1,1,"N566714","otu1",491175,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified",NA,TRUE,TRUE,TRUE
"2",2,2,2,"N566714","otu13",13138,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Pinopsida","Cupressales","Cupressaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"3",3,3,3,"N566714","otu17",86402,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"4",4,4,4,"N566714","otu71",5458,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"5",5,5,5,"N566714","otu259",176,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"6",6,6,6,"N566714","otu843",7,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Lamiales","Unclassified","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"7",7,7,7,"N566714","otu146",97,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","avena sterilis",FALSE,"Streptophyta","Magnoliopsida","Poales","Poaceae","Avena","Avena sterilis",FALSE,TRUE,TRUE,TRUE
"8",8,8,8,"N566714","otu353",11,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",NA,NA,NA,NA
"9",9,9,9,"N566714","otu211",328,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
"10",10,10,10,"N566714","otu24",2669,"Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m","unclassified",NA,"Streptophyta","Magnoliopsida","Poales","Poaceae","Unclassified","Unclassified",NA,FALSE,FALSE,FALSE
