"predator","prey","ra","otu_phylum","otu_class","otu_order","otu_family","otu_genus","otu_species","site","sex","age","year","color","temperature","clouds","precipitation","cover_snow","weight","fat","muscle","winds","fresh_snow","clouds_height","snow_height","elevation","wing","p8","tarsus","beak_colour","first_reaction","provoking","flapping","time_min","time_hour","day","month","timekey","key_m100","capture_day","sex_genetics","total_reads","proportion","total_otu"
"N566714","otu1",491175,"Streptophyta","Magnoliopsida","Asterales","Asteraceae","Unclassified","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,0.142175505954337,67
"N566714","otu13",13138,"Streptophyta","Pinopsida","Cupressales","Cupressaceae","Unclassified","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,0.0038029252246716,67
"N566714","otu17",86402,"Streptophyta","Magnoliopsida","Poales","Poaceae","Calamagrostis","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,0.0250099212408339,67
"N566714","otu71",5458,"Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,0.00157987257392736,67
"N566714","otu259",176,"Streptophyta","Magnoliopsida","Fabales","Fabaceae","Sarcodum","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,5.09449565795556e-05,67
"N566714","otu843",7,"Streptophyta","Magnoliopsida","Unclassified","Unclassified","Unclassified","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,2.0262198639596e-06,67
"N566714","otu146",97,"Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Unclassified","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,2.80776181148687e-05,67
"N566714","otu353",11,"Streptophyta","Jungermanniopsida","Jungermanniales","Lophoziaceae","Tritomaria","Tritomaria exsecta","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,3.18405978622223e-06,67
"N566714","otu211",328,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,9.49428736255355e-05,67
"N566714","otu24",2669,"Streptophyta","Magnoliopsida","Poales","Poaceae","Sesleria","Sesleria caerulea","Tiefenbach","m",6,2023,"grey","-11",1,"no",98,45,5,1,2,"3",NA,NA,2102,126,99,22.5,2.5,NA,NA,NA,30,15,18,1,"2023-01-18 15:30","2023-01-18 13:50:00","2023-01-18","m",3454709,0.000772568688129738,67
