otu,otu_phylum,otu_class,otu_order,otu_family,otu_genus,otu_species,anthropogenic,Functionnal group,comments,date
otu203,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies,Unclassified,FALSE,tree,,
otu137,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum napellus,FALSE,forb,,
otu765,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Aesculus hippocastanum,TRUE,tree,brown  ? marrons,
otu4,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu448,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu515,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu523,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu529,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu582,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu606,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu619,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu645,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu648,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu649,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu657,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu667,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu684,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu711,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu712,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu721,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu725,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu727,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu736,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu743,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu746,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu747,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu759,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu761,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu766,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu768,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu772,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu782,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu783,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu786,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu792,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu799,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu801,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu802,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu803,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu807,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu811,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu816,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu831,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu832,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu834,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu858,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu859,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu875,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu890,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu893,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu895,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu896,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu898,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu903,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu906,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu919,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
otu922,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,Unclassified,FALSE,tree,,
