"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1000180,1000,"Achillea atrata L.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1000543,3510,"Aconitum lycoctonum L.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1000545,3530,"Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1000620,4390,"Aconitum variegatum L.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1001130,9300,"Agrostis stolonifera L.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1001340,11200,"Alchemilla alpina aggr.",NA,"Rosaceae",NA,1,2021,2021,NA,"Least concern",NA
1001330,11100,"Alchemilla alpina superaggr.",NA,"",NA,1,2021,2021,NA,"",NA
1004360,39350,"Arabis alpina L.",NA,"Brassicaceae",NA,0,1982,1982,NA,"Least concern",NA
1004370,39400,"Arabis alpina L. subsp. alpina",NA,"Brassicaceae",NA,0,1982,1982,NA,"",NA
1005080,47000,"Artemisia genipi Weber",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1005540,51200,"Asplenium septentrionale (L.) Hoffm.",NA,"Aspleniaceae",NA,0,1982,1982,NA,"Least concern",NA
1005550,51400,"Asplenium trichomanes L.",NA,"Aspleniaceae",NA,0,1982,1982,NA,"Least concern",NA
1006870,62500,"Blechnum spicant (L.) Roth",NA,"Blechnaceae",NA,0,1982,1982,NA,"Least concern",NA
1008180,73700,"Caltha palustris L.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1009490,84700,"Carex capillaris L.",NA,"Cyperaceae",NA,0,1982,1982,NA,"Least concern",NA
1009760,87500,"Carex flacca Schreb.",NA,"Cyperaceae",NA,0,1982,1982,NA,"Least concern",NA
1010140,91700,"Carex panicea L.",NA,"Cyperaceae",NA,0,1982,1982,NA,"Least concern",NA
1012370,114400,"Cirsium helenioides (L.) Hill",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1013670,123500,"Crepis conyzifolia (Gouan) A. Kern.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1014000,126600,"Cryptogramma crispa (L.) Hook.",NA,"Pteridaceae",NA,1,1982,2021,NA,"Least concern",NA
1014840,132900,"Dactylorhiza traunsteineri (Rchb.) Soó",NA,"Orchidaceae",NA,0,1982,1982,NA,"Near threatened",NA
1015560,139700,"Doronicum clusii (All.) Tausch",NA,"Asteraceae",NA,1,1982,2021,NA,"Least concern",NA
1015870,142600,"Dryopteris affinis (Lowe) Fraser-Jenk.",NA,"Dryopteridaceae",NA,0,1982,1982,NA,"Least concern",NA
1016510,147300,"Epilobium alpestre (Jacq.) Krock.",NA,"Onagraceae",NA,0,1982,1982,NA,"Least concern",NA
1018600,162750,"Euphrasia minima Schleich.",NA,"Orobanchaceae",NA,1,1982,2021,NA,"Least concern",NA
1018980,165700,"Festuca alpina Suter",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019160,167650,"Festuca halleri aggr.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019230,168000,"Festuca intercedens (Hack.) Lüdi",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019450,170000,"Festuca quadriflora Honck.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019650,171800,"Festuca varia aggr.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1019670,172100,"Festuca violacea aggr.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1021870,192500,"Gnaphalium supinum L.",NA,"Asteraceae",NA,1,1982,2021,NA,"Least concern",NA
1023110,202700,"Hieracium murorum aggr.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1023360,204700,"Hieracium schmidtii aggr.",NA,"Asteraceae",NA,0,1982,1982,NA,"Near threatened",NA
1025130,220300,"Juncus triglumis L.",NA,"Juncaceae",NA,0,1982,1982,NA,"Least concern",NA
1025190,221000,"Kernera saxatilis (L.) Sweet",NA,"Brassicaceae",NA,0,1982,1982,NA,"Least concern",NA
1026470,234600,"Leontopodium alpinum Cass.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1026600,236000,"Leucanthemopsis alpina (L.) Heywood",NA,"Asteraceae",NA,1,2021,2021,NA,"Least concern",NA
1026610,236020,"Leucanthemopsis alpina (L.) Heywood subsp. alpina",NA,"Asteraceae",NA,1,2021,2021,NA,"Least concern",NA
1026650,236200,"Leucanthemum adustum (W. D. J. Koch) Gremli",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1026710,236905,"Leucanthemum vulgare aggr.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
1027210,241900,"Listera cordata (L.) R. Br.",NA,"Orchidaceae",NA,0,1982,1982,NA,"Near threatened",NA
1027500,244300,"Lotus alpinus (DC.) Ramond",NA,"Fabaceae",NA,1,1982,2021,NA,"Least concern",NA
1027510,244410,"Lotus corniculatus aggr.",NA,"Fabaceae",NA,1,1982,2021,NA,"Least concern",NA
1027670,246000,"Luzula alpinopilosa (Chaix) Breistr.",NA,"Juncaceae",NA,1,1982,2021,NA,"Least concern",NA
1027790,247100,"Luzula multiflora (Ehrh.) Lej.",NA,"Juncaceae",NA,0,1982,1982,NA,"Least concern",NA
1027785,247150,"Luzula multiflora aggr.",NA,"Juncaceae",NA,0,1982,1982,NA,"Least concern",NA
1027920,248400,"Luzula sylvatica aggr.",NA,"Juncaceae",NA,0,1982,1982,NA,"Least concern",NA
1029020,259800,"Milium effusum L.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1029350,262500,"Moehringia ciliata (Scop.) Dalla Torre",NA,"Caryophyllaceae",NA,0,1982,1982,NA,"Least concern",NA
1030380,271700,"Nigritella rhellicani aggr.",NA,"Orchidaceae",NA,0,1982,1982,NA,"Least concern",NA
1032820,294400,"Pedicularis kerneri Dalla Torre",NA,"Orobanchaceae",NA,1,1982,2021,NA,"Least concern",NA
1033630,301400,"Phyteuma hemisphaericum L.",NA,"Campanulaceae",NA,1,1982,2021,NA,"Least concern",NA
1033800,302800,"Picea abies (L.) H. Karst.",NA,"Pinaceae",NA,1,1982,2021,NA,"Least concern",NA
1034080,305495,"Pinus mugo Turra",NA,"Pinaceae",NA,0,1982,1982,NA,"Least concern",NA
1034070,305800,"Pinus mugo subsp. uncinata (DC.) Domin",NA,"Pinaceae",NA,0,1982,1982,NA,"Least concern",NA
1034250,307000,"Plantago alpina L.",NA,"Plantaginaceae",NA,0,1982,1982,NA,"Least concern",NA
1034405,308350,"Plantago serpentina aggr.",NA,"Plantaginaceae",NA,0,1982,1982,NA,"",NA
1034620,310500,"Poa nemoralis L.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1034680,311100,"Poa supina Schrad.",NA,"Poaceae",NA,0,1982,1982,NA,"Least concern",NA
1035200,316400,"Polypodium vulgare L.",NA,"Polypodiaceae",NA,0,1982,1982,NA,"Least concern",NA
1036430,327650,"Pritzelago alpina (L.) Kuntze",NA,"Brassicaceae",NA,0,1982,1982,NA,"Least concern",NA
1036450,327800,"Pritzelago alpina subsp. brevicaulis (Spreng.) Greuter & Burdet",NA,"Brassicaceae",NA,0,1982,1982,NA,"Least concern",NA
1037360,336500,"Ranunculus aconitifolius L.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1037610,338700,"Ranunculus glacialis L.",NA,"Ranunculaceae",NA,1,1982,2021,NA,"Least concern",NA
1037710,339500,"Ranunculus montanus Willd.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1037700,339505,"Ranunculus montanus aggr.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1038000,342400,"Ranunculus villarsii DC.",NA,"Ranunculaceae",NA,0,1982,1982,NA,"Least concern",NA
1038200,343600,"Rhamnus pumila Turra",NA,"Rhamnaceae",NA,0,1982,1982,NA,"Least concern",NA
1040200,359400,"Rumex alpinus L.",NA,"Polygonaceae",NA,0,1982,1982,NA,"Least concern",NA
1040590,363100,"Salix appendiculata Vill.",NA,"Salicaceae",NA,0,1982,1982,NA,"Least concern",NA
1041510,371050,"Saussurea alpina (L.) DC.",NA,"Asteraceae",NA,0,1982,1982,NA,"Least concern",NA
